User,Email,Client,Project,Task,Description,Billable,Start date,Start time,End date,End time,Duration,Tags,Amount ()
John Doe,john.doe@foo.com,Music Training,Piano Practice,,piano,No,2016-03-01,08:30:02,2016-03-01,09:00:02,00:30:00,piano,
John Doe,john.doe@foo.com,Teaching,Private,,Van,No,2016-03-01,09:00:01,2016-03-01,10:00:01,01:00:00,,
John Doe,john.doe@foo.com,Health & Personal Growth,Writing,,"",No,2016-03-01,10:00:25,2016-03-01,10:06:47,00:06:22,,
John Doe,john.doe@foo.com,Admin,"E-mails, Finances, Scheduling",,"",No,2016-03-01,11:20:49,2016-03-01,12:40:09,01:19:20,,
John Doe,john.doe@foo.com,Health & Personal Growth,Physical Therapy,,"",No,2016-03-01,14:12:31,2016-03-01,14:25:24,00:12:53,,
John Doe,john.doe@foo.com,,other,,"",No,2016-03-01,15:40:27,2016-03-01,16:00:27,00:20:00,,
John Doe,john.doe@foo.com,,other,,"",No,2016-03-01,17:09:46,2016-03-01,17:38:06,00:28:20,,
John Doe,john.doe@foo.com,,other,,"",No,2016-03-01,18:27:34,2016-03-01,18:33:52,00:06:18,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-01,19:50:52,2016-03-01,20:00:52,00:10:00,,
John Doe,john.doe@foo.com,Teaching,Private,,micro lessons,No,2016-03-01,20:00:35,2016-03-01,21:15:35,01:15:00,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-01,21:15:17,2016-03-01,21:25:17,00:10:00,,
John Doe,john.doe@foo.com,Health & Personal Growth,Writing,,"",No,2016-03-02,08:35:57,2016-03-02,08:50:26,00:14:29,,
John Doe,john.doe@foo.com,Admin,"E-mails, Finances, Scheduling",,"",No,2016-03-02,08:50:01,2016-03-02,10:29:23,01:39:22,,
John Doe,john.doe@foo.com,Teaching,Private,,Crystal,No,2016-03-02,10:29:26,2016-03-02,10:51:34,00:22:08,,
John Doe,john.doe@foo.com,Admin,"E-mails, Finances, Scheduling",,"",No,2016-03-02,10:52:29,2016-03-02,12:20:06,01:27:37,,
John Doe,john.doe@foo.com,Teaching,Private,,Dan & Tom,No,2016-03-02,12:27:00,2016-03-02,13:33:00,01:06:00,,
John Doe,john.doe@foo.com,Admin,"E-mails, Finances, Scheduling",,"",No,2016-03-02,13:34:09,2016-03-02,14:25:06,00:50:57,,
John Doe,john.doe@foo.com,Teaching,Discover Music & Art,,Mary,No,2016-03-02,14:30:56,2016-03-02,15:10:54,00:39:58,,
John Doe,john.doe@foo.com,Admin,"E-mails, Finances, Scheduling",,"",No,2016-03-02,15:14:34,2016-03-02,15:17:33,00:03:00,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-02,16:38:05,2016-03-02,16:50:05,00:12:00,,
John Doe,john.doe@foo.com,Admin,"E-mails, Finances, Scheduling",,"",No,2016-03-02,16:56:20,2016-03-02,16:59:18,00:02:58,,
John Doe,john.doe@foo.com,Music Training,Piano Practice,,"",No,2016-03-02,16:59:20,2016-03-02,17:01:59,00:02:39,,
John Doe,john.doe@foo.com,Teaching,ANMS,,"",No,2016-03-02,17:02:13,2016-03-02,18:48:21,01:46:08,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-02,18:48:23,2016-03-02,19:15:57,00:27:34,,
John Doe,john.doe@foo.com,Teaching,Private,,Zoe,No,2016-03-02,19:16:03,2016-03-02,20:15:36,00:59:33,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-02,20:15:41,2016-03-02,20:34:06,00:18:25,,
